reference,subject,url
1-1,agents,https://docs.anthropic.com/en/docs/claude-code/sdk
1-1,agentic loop stop reasons,https://docs.anthropic.com/en/api/handling-stop-reasons
1-2,multi-agent systems,https://docs.anthropic.com/en/docs/claude-code/sub-agents
1-2,tool use,https://docs.anthropic.com/en/docs/tool-use
1-2,models,https://docs.anthropic.com/en/docs/about-claude/models
1-3,agents,https://docs.anthropic.com/en/docs/claude-code/sdk
1-3,tool use,https://docs.anthropic.com/en/docs/build-with-claude/tool-use
1-3,memory and storage,https://docs.anthropic.com/en/docs/claude-code/sdk/sdk-sessions
1-3,subagents (Task tool),https://docs.anthropic.com/en/docs/claude-code/sub-agents
1-4,workflows,https://www.anthropic.com/research/building-effective-agents
1-4,tool use,https://docs.anthropic.com/en/docs/build-with-claude/tool-use/overview
1-4,zod,https://zod.dev/
1-5,agent SDK hooks,https://docs.anthropic.com/en/docs/claude-code/hooks
1-5,tool use,https://docs.anthropic.com/en/docs/tool-use
1-5,building effective agents,https://www.anthropic.com/research/building-effective-agents
1-6,agents,https://docs.anthropic.com/en/docs/claude-code/sdk
1-6,prompt chaining,https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/chain-prompts
1-7,session resume,https://docs.anthropic.com/en/docs/claude-code/cli-reference#resume-a-session
1-7,context window and compaction,https://docs.anthropic.com/en/docs/claude-code/memory#context-window-and-compaction
1-7,claude code SDK,https://docs.anthropic.com/en/docs/claude-code/sdk
1-7,agent SDK sessions (fork/resume),https://docs.anthropic.com/en/docs/claude-code/sdk/sdk-sessions
2-1,tool use,https://docs.anthropic.com/en/docs/tool-use
2-1,MCP tools,https://modelcontextprotocol.io/docs/concepts/tools
2-1,tool definition best practices,https://docs.anthropic.com/en/docs/agents-and-tools/tool-use/overview
2-2,MCP tools,https://modelcontextprotocol.io/docs/concepts/tools
2-2,handling tool errors,https://docs.anthropic.com/en/docs/agents-and-tools/tool-use/implement-tool-use
2-2,MCP TypeScript SDK,https://github.com/modelcontextprotocol/typescript-sdk
2-3,tool choice,https://docs.anthropic.com/en/docs/tool-use#controlling-claudes-output
2-3,multi-agent systems,https://docs.anthropic.com/en/docs/claude-code/sub-agents
2-3,agent SDK,https://docs.anthropic.com/en/docs/claude-code/sdk
2-4,MCP resources spec,https://modelcontextprotocol.io/specification/2025-06-18/server/resources
2-4,claude code MCP,https://docs.anthropic.com/en/docs/claude-code/mcp
2-4,MCP TypeScript SDK,https://github.com/modelcontextprotocol/typescript-sdk
2-4,URI templates (RFC 6570),https://www.rfc-editor.org/rfc/rfc6570
2-5,built-in tools reference,https://docs.anthropic.com/en/docs/claude-code/settings
3-1,claude.md / memory,https://docs.anthropic.com/en/docs/claude-code/memory
3-1,settings,https://docs.anthropic.com/en/docs/claude-code/settings
3-2,slash commands,https://docs.anthropic.com/en/docs/claude-code/slash-commands
3-2,skills,https://docs.anthropic.com/en/docs/claude-code/skills
3-3,path-specific rules (.claude/rules),https://docs.anthropic.com/en/docs/claude-code/memory
3-4,plan mode,https://docs.anthropic.com/en/docs/claude-code/common-workflows
3-5,iterative refinement (TDD),https://docs.anthropic.com/en/docs/claude-code/common-workflows
3-6,github actions,https://docs.anthropic.com/en/docs/claude-code/github-actions
3-6,JSON schema,https://json-schema.org/
3-6,headless mode CLI flags,https://docs.anthropic.com/en/docs/claude-code/headless
4-1,clear and direct prompting,https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/be-clear-and-direct
4-1,output consistency,https://docs.anthropic.com/en/docs/test-and-evaluate/strengthen-guardrails/increase-consistency
4-2,few-shot prompting,https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/multishot-prompting
4-3,tool use,https://docs.anthropic.com/en/docs/tool-use
4-3,forcing tool use,https://docs.anthropic.com/en/docs/agents-and-tools/tool-use/implement-tool-use
4-3,defining tools,https://docs.anthropic.com/en/docs/build-with-claude/tool-use/implement-tool-use#defining-tools
4-3,zod-to-json-schema,https://github.com/StefanTerdell/zod-to-json-schema
4-4,zod,https://zod.dev/
4-4,reduce hallucinations,https://docs.anthropic.com/en/docs/test-and-evaluate/strengthen-guardrails/reduce-hallucinations
4-5,message batches,https://docs.anthropic.com/en/docs/build-with-claude/message-batches
4-6,build with claude overview,https://docs.anthropic.com/en/docs/build-with-claude/overview
4-6,anthropic cookbook,https://github.com/anthropics/anthropic-cookbook
4-6,extended thinking,https://docs.anthropic.com/en/docs/build-with-claude/extended-thinking
5-1,context windows,https://docs.anthropic.com/en/docs/build-with-claude/context-windows
5-1,long context tips,https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/long-context-tips
5-1,claude code CLI,https://docs.anthropic.com/en/docs/claude-code/cli-reference
5-2,escalation routing,https://www.anthropic.com/research/building-effective-agents
5-3,building effective agents,https://www.anthropic.com/research/building-effective-agents
5-3,handling tool errors,https://docs.anthropic.com/en/docs/agents-and-tools/tool-use/implement-tool-use
5-3,claude code SDK,https://docs.anthropic.com/en/docs/claude-code/sdk
5-3,MCP tools,https://modelcontextprotocol.io/docs/concepts/tools
5-4,context management (/compact),https://docs.anthropic.com/en/docs/claude-code/costs
5-5,build with claude,https://docs.anthropic.com/en/docs/build-with-claude
5-5,tool use,https://docs.anthropic.com/en/docs/tool-use
5-6,tool use,https://docs.anthropic.com/en/docs/build-with-claude/tool-use
5-6,RAG,https://docs.anthropic.com/en/docs/build-with-claude/embeddings
